ego_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id,goal_lanelet_id,time_horizon
30819,0,280.9142,0.9277,-0.7941828775175241,6.1719,-0.389,4278,1959,150.0
30819,1,281.3486,0.4856,-0.7941828775175241,6.0617,-0.7001,4278,1959,150.0
30819,2,281.7778,0.049,-0.7939449638300166,5.897,-0.9335,4278,1959,150.0
30819,3,282.1973,-0.3776,-0.793789409532798,5.7504,-0.9813,4278,1959,150.0
30819,4,282.6061,-0.7936,-0.7941273306173364,5.5119,-1.3844,4278,1959,150.0
30819,5,283.0012,-1.1958,-0.7943029825775737,5.204,-1.6762,4278,1959,150.0
30819,6,283.3769,-1.5785,-0.7946278591101982,5.0081,-1.1097,4278,1959,150.0
30819,7,283.7347,-1.9434,-0.7952221174466525,4.7648,-1.3117,4278,1959,150.0
30819,8,284.0774,-2.2922,-0.7942193373369317,4.4881,-1.4441,4278,1959,150.0
30819,9,284.4018,-2.6223,-0.7941068813499973,4.3238,-0.9119,4278,1959,150.0
30819,10,284.7113,-2.9364,-0.7927745530210741,4.1267,-1.0507,4278,1959,150.0
30819,11,285.0084,-3.2371,-0.7914201715647209,3.907,-1.1383,4278,1959,150.0
30819,12,285.291,-3.5228,-0.7908529746822253,3.7871,-0.6273,4278,1959,150.0
30819,13,285.5625,-3.7955,-0.7876032314883451,3.657,-0.6703,1974,1959,150.0
30819,14,285.8252,-4.0593,-0.7874874291134846,3.52,-0.698,1974,1959,150.0
30819,15,286.0791,-4.3129,-0.7848070304614011,3.4508,-0.3424,1979,1959,150.0
30819,16,286.3263,-4.5587,-0.782558414438549,3.3831,-0.3354,1979,1959,150.0
30819,17,286.5686,-4.7996,-0.7825008205114382,3.3167,-0.328,1979,1959,150.0
30819,18,286.8066,-5.0353,-0.7805428078428683,3.2826,-0.1765,1979,1959,150.0
30819,19,287.0414,-5.2671,-0.7789687620629182,3.2462,-0.1878,1979,1959,150.0
30819,20,287.2738,-5.4965,-0.7789019360286837,3.2076,-0.1978,1979,1959,150.0
30819,21,287.5036,-5.7229,-0.7779454298359053,3.186,-0.1172,1979,1959,150.0
30819,22,287.7316,-5.9471,-0.7769949998497818,3.1608,-0.134,1979,1959,150.0
30819,23,287.9578,-6.1697,-0.7773769450557768,3.1325,-0.1494,1979,1959,150.0
30819,24,288.1822,-6.3903,-0.776859045108456,3.1155,-0.0943,1979,1959,150.0
30819,25,288.4051,-6.6093,-0.7765728663894644,3.0948,-0.1125,1979,1959,150.0
30819,26,288.6266,-6.827,-0.7767462845650797,3.0707,-0.129,1979,1959,150.0
30819,27,288.8465,-7.0431,-0.7766827877407293,3.0558,-0.084,1979,1959,150.0
30819,28,289.0649,-7.2579,-0.7770881053845862,3.0372,-0.102,4287,1959,150.0
30819,29,289.2821,-7.4716,-0.7772758077893042,3.0151,-0.1185,4287,1959,150.0
30819,30,289.4978,-7.6838,-0.7772188646161011,3.0013,-0.0781,4287,1959,150.0
30819,31,289.7122,-7.8949,-0.7776427372201328,2.984,-0.0954,4287,1959,150.0
30819,32,289.9254,-8.1049,-0.7778368708286698,2.9633,-0.1114,4287,1959,150.0
30819,33,290.1373,-8.3135,-0.7775505242638056,2.9503,-0.0737,4287,1959,150.0
30819,34,290.348,-8.5211,-0.7779873499884241,2.9339,-0.0904,4287,1959,150.0
30819,35,290.5575,-8.7276,-0.7781867499471429,2.9142,-0.1057,4287,1959,150.0
30819,36,290.7658,-8.9329,-0.7781449056844962,2.9019,-0.07,4287,1959,150.0
30819,37,290.9729,-9.1371,-0.7783474657447621,2.8863,-0.086,4287,1959,150.0
30819,38,291.179,-9.3404,-0.7785589930411028,2.8676,-0.1006,4287,1959,150.0
30819,39,291.3838,-9.5424,-0.7785152829055109,2.8559,-0.0667,4287,1959,150.0
30819,40,291.5875,-9.7435,-0.7789753268178528,2.841,-0.0819,4287,1959,150.0
30819,41,291.7902,-9.9436,-0.7789434367549827,2.8232,-0.0958,4287,1959,150.0
30819,42,291.9918,-10.1426,-0.7789079899230487,2.8121,-0.0636,4287,1959,150.0
30819,43,292.1923,-10.3406,-0.7791247199767535,2.7979,-0.078,4287,1959,150.0
30819,44,292.3918,-10.5377,-0.7793468000471425,2.7809,-0.0913,4287,1959,150.0
30819,45,292.5903,-10.7338,-0.7793161299279987,2.7724,-0.0397,4287,1959,150.0
30819,46,292.7878,-10.9289,-0.7792851473384973,2.765,-0.0341,4287,1959,150.0
30819,47,292.9848,-11.1235,-0.7792695373711908,2.7588,-0.0288,4287,1959,150.0
30819,48,293.1813,-11.3176,-0.7792538474787505,2.7561,-0.0125,4287,1959,150.0
30819,49,293.3775,-11.5113,-0.7789863507777207,2.7537,-0.0107,4287,1959,150.0
30819,50,293.5735,-11.7049,-0.7792380770457585,2.7518,-0.0091,4287,1959,150.0
30819,51,293.7694,-11.8983,-0.7789764689849974,2.7509,-0.0039,4287,1959,150.0
30819,52,293.9652,-12.0916,-0.7789731682820512,2.7502,-0.0034,4287,1959,150.0
30819,53,294.161,-12.2848,-0.7787144582965623,2.7496,-0.0029,4287,1959,150.0
30819,54,294.3567,-12.4779,-0.7787110202792011,2.7493,-0.0012,4287,1959,150.0
30819,55,294.5525,-12.671,-0.7784556161595597,2.7491,-0.0011,4287,1959,150.0
30819,56,294.7483,-12.864,-0.7781966418044904,2.7489,-0.0009,4287,1959,150.0
30819,57,294.9441,-13.0569,-0.7779375351643322,2.7468,-0.0205,4287,1959,150.0
30819,58,295.1398,-13.2498,-0.7781929355396701,2.7408,-0.0391,4287,1959,150.0
30819,59,295.3352,-13.4425,-0.7784413057788334,2.7312,-0.0564,4287,1959,150.0
30819,60,295.5301,-13.6346,-0.7781631475212468,2.7259,-0.0245,4287,1959,150.0
30819,61,295.7244,-13.8261,-0.7781406443728692,2.7214,-0.0211,4287,1959,150.0
30819,62,295.9183,-14.0173,-0.7783871123445094,2.7175,-0.0178,4287,1959,150.0
30819,63,296.1118,-14.2084,-0.7791579947854217,2.7158,-0.0077,4287,1959,150.0
30819,64,296.3051,-14.3994,-0.7794133272297927,2.7144,-0.0066,4287,1959,150.0
30819,65,296.4983,-14.5902,-0.779148244775773,2.7132,-0.0056,4287,1959,150.0
30819,66,296.6912,-14.7809,-0.7796630855043283,2.7107,-0.0217,4287,1959,150.0
30819,67,296.8839,-14.9719,-0.7809676476908479,2.7046,-0.0392,4287,1959,150.0
30819,68,297.0762,-15.1625,-0.7809583910545915,2.6951,-0.0555,4287,1959,150.0
30819,69,297.268,-15.3525,-0.7806836881113953,2.6524,-0.3877,4287,1959,150.0
30819,70,297.4582,-15.5414,-0.7819690024785068,2.5449,-0.6751,4287,1959,150.0
30819,71,297.6427,-15.725,-0.7829531804943494,2.3872,-0.8901,4287,1959,150.0
30819,72,297.8178,-15.8992,-0.7828215873643495,2.2817,-0.6028,4287,1959,150.0
30819,73,297.9834,-16.064,-0.7829768606230794,2.1487,-0.721,4287,1959,150.0
30819,74,298.1404,-16.2206,-0.7841226538851459,1.996,-0.7995,4287,1959,150.0
30819,75,298.2871,-16.3672,-0.7850572155756428,1.906,-0.4957,1954,1959,150.0
30819,76,298.4252,-16.5052,-0.7850359758000641,1.7994,-0.5653,1954,1959,150.0
30819,77,298.5564,-16.6362,-0.7846353870389826,1.6816,-0.6083,1959,1959,150.0
30819,78,298.6796,-16.7593,-0.7849921544875764,1.6138,-0.3706,1959,1959,150.0
