obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
3277,1,-467.9259,21.7153,2.8320,8.3179,-5.9434,605
3277,2,-468.6738,21.9602,2.8252,7.7236,-5.9434,605
3277,3,-469.3643,22.1899,2.8204,7.1296,-5.9350,605
3277,4,-469.9978,22.4031,2.8168,6.5353,-5.9434,605
3277,5,-470.5744,22.5989,2.8143,5.9410,-5.9434,605
3277,6,-471.0944,22.7765,2.8124,5.3466,-5.9434,605
3277,7,-471.5580,22.9356,2.8110,4.7523,-5.9434,605
3277,8,-471.9652,23.0758,2.8099,4.1579,-5.9434,605
3277,9,-472.3161,23.1969,2.8091,3.5636,-5.9434,605
3277,10,-472.6108,23.2989,2.8085,2.9693,-5.9434,605
3277,11,-472.8492,23.3815,2.8081,2.3749,-5.9434,605
3277,12,-473.0315,23.4447,2.8078,1.7806,-5.9434,605
3277,13,-473.1576,23.4885,2.8076,1.1862,-5.9434,605
3277,14,-473.2282,23.5129,2.8074,0.5979,-5.9434,605
3277,15,-473.2468,23.5096,-3.4793,0.0170,-5.9042,605
3277,16,-473.2468,23.5096,-3.4793,0.0,-0.0004,605
3277,17,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,18,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,19,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,20,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,21,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,22,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,23,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,24,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,25,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,26,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,27,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,28,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,29,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,30,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,31,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,32,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,33,-473.2468,23.5096,-3.4793,0.0,0.0,605
3277,34,-473.2468,23.5096,-3.4793,0.0,0.0,605
